Time,Signal,Peaks
0.0,0.4774774774774775,0
17.0,0.46846846846846846,0
33.0,0.46846846846846846,0
50.0,0.4774774774774775,0
67.0,0.4594594594594595,0
83.0,0.4774774774774775,0
100.0,0.4774774774774775,0
117.0,0.4774774774774775,0
133.0,0.46846846846846846,0
150.0,0.44144144144144143,0
167.0,0.44144144144144143,0
183.0,0.4144144144144144,0
200.0,0.3783783783783784,0
217.0,0.36936936936936937,0
233.0,0.36036036036036034,0
250.0,0.3333333333333333,0
267.0,0.2972972972972973,0
283.0,0.2972972972972973,0
300.0,0.2972972972972973,0
317.0,0.2702702702702703,0
333.0,0.21621621621621623,0
350.0,0.23423423423423423,0
367.0,0.22522522522522523,0
383.0,0.21621621621621623,0
400.0,0.21621621621621623,0
417.0,0.2072072072072072,0
433.0,0.23423423423423423,0
450.0,0.1981981981981982,0
467.0,0.1981981981981982,0
483.0,0.1891891891891892,0
500.0,0.17117117117117117,0
517.0,0.16216216216216217,0
533.0,0.14414414414414414,0
550.0,0.16216216216216217,0
567.0,0.14414414414414414,0
583.0,0.12612612612612611,0
600.0,0.10810810810810811,0
617.0,0.09009009009009009,0
633.0,0.07207207207207207,0
650.0,0.06306306306306306,0
667.0,0.05405405405405406,0
683.0,0.036036036036036036,0
700.0,0.02702702702702703,0
717.0,0.018018018018018018,0
733.0,0.009009009009009009,0
750.0,0.0,0
767.0,0.0,0
783.0,0.0,0
800.0,0.05405405405405406,0
817.0,0.14414414414414414,0
833.0,0.2702702702702703,0
850.0,0.3783783783783784,0
867.0,0.5315315315315315,0
883.0,0.6396396396396397,0
900.0,0.7117117117117117,0
917.0,0.7747747747747747,1
933.0,0.7657657657657657,0
950.0,0.7567567567567568,0
967.0,0.7387387387387387,0
983.0,0.7027027027027027,0
1000.0,0.6576576576576577,0
1016.9999999999999,0.6126126126126126,0
1033.0,0.5945945945945946,0
1050.0,0.5495495495495496,0
1067.0,0.5135135135135135,0
1083.0,0.5045045045045045,0
1100.0,0.4864864864864865,0
1117.0,0.46846846846846846,0
1133.0,0.46846846846846846,0
1150.0,0.4864864864864865,0
1167.0,0.4774774774774775,0
1183.0,0.4954954954954955,0
1200.0,0.5045045045045045,0
1217.0,0.4774774774774775,0
1233.0,0.4774774774774775,0
1250.0,0.4594594594594595,0
1267.0,0.4594594594594595,0
1283.0,0.42342342342342343,0
1300.0,0.42342342342342343,0
1317.0,0.40540540540540543,0
1333.0,0.36936936936936937,0
1350.0,0.36036036036036034,0
1367.0,0.3063063063063063,0
1383.0,0.2702702702702703,0
1400.0,0.23423423423423423,0
1417.0,0.21621621621621623,0
1433.0,0.1981981981981982,0
1450.0,0.18018018018018017,0
1467.0,0.2072072072072072,0
1483.0,0.1981981981981982,0
1500.0,0.1981981981981982,0
1517.0,0.1981981981981982,0
1533.0,0.1891891891891892,0
1550.0,0.1891891891891892,0
1567.0,0.1891891891891892,0
1583.0,0.18018018018018017,0
1600.0,0.17117117117117117,0
1617.0,0.16216216216216217,0
